prix,marque,annee,type de taille,consommation de carburant,puissance,couple,type de carburant,lpg,hybrid,emission co2,poids,boite de vitesse
8620,kia,2015,luxury,7.6,425,52,essence,0,0,5038,2105,automatique
11150,hyundai,2015,luxury,8.1,416,52,essence,0,0,5038,2065,automatique
14570,hyundai,2015,luxury,7.4,416,52,essence,0,0,5038,2145,automatique
10687,ssangyong,2015,luxury,7.5,306,45,essence,0,0,4966,2070,automatique
9324,ssangyong,2015,luxury,7.6,306,45,essence,0,0,4966,1960,automatique
5680,kia,2015,luxury,9.3,334,40.3,essence,0,0,3778,1940,automatique
6910,hyundai,2015,luxury,8.9,334,40.3,essence,0,0,3778,1915,automatique
5463,hyundai,2015,luxury,9,315,40.5,essence,0,0,3778,1930,automatique
5710,hyundai,2015,luxury,8.5,315,40.5,essence,0,0,3778,2000,automatique
9254,ssangyong,2015,luxury,8,250,35,essence,0,0,3598,2070,automatique
6565,ssangyong,2015,luxury,7.5,250,35,essence,0,0,3598,2075,automatique
6095,ssangyong,2015,luxury,8,250,35,essence,0,0,3598,1990,automatique
3520,samsung,2014,luxury,9.4,258,33.7,essence,0,0,3498,1640,automatique
2899,kia,2013,luxury,8.2,275,34.3,essence,0,0,3470,2072,automatique
4391,kia,2013,luxury,8.2,275,34.3,essence,0,0,3470,2085,automatique
3950,kia,2015,luxury,10,294,35.3,essence,0,0,3342,1635,automatique
4990,kia,2015,luxury,9.4,300,35.5,essence,0,0,3342,1920,automatique
3710,kia,2015,luxury,8.3,280,34.3,essence,0,0,3342,2047,automatique
3802,hyundai,2015,intermediaire,8.5,290,34.8,essence,0,0,3342,1901,automatique
3590,hyundai,2015,intermediaire,8.9,290,34.8,essence,0,0,3342,1832,automatique
4190,hyundai,2015,luxury,9.5,294,35.3,essence,0,0,3342,1690,automatique
4650,hyundai,2015,luxury,9.2,282,35.4,essence,0,0,3342,1900,automatique
4897,hyundai,2015,luxury,8.6,282,35.4,essence,0,0,3342,1970,automatique
6101,ssangyong,2015,luxury,7.6,225,30.2,essence,0,0,3199,2035,automatique
5631,ssangyong,2015,luxury,8.1,225,30.2,essence,0,0,3199,1935,automatique
3300,kia,2015,luxury,10.4,270,31.6,essence,0,0,2999,1535,automatique
3361,hyundai,2015,luxury,10.4,270,31.6,essence,0,0,2999,1590,automatique
3990,hyundai,2015,luxury,9.5,270,31.6,essence,0,0,2999,1670,automatique
3581,daewoo,2015,luxury,9.4,263,29.6,essence,0,0,2997,1725,automatique
3794,daewoo,2015,luxury,9.4,263,29.6,essence,0,0,2997,1725,automatique
3936,kia,2014,luxury,10.7,260,56,gazole,0,0,2959,2055,automatique
4160,kia,2014,luxury,10.3,260,56,gazole,0,0,2959,2155,automatique
4625,kia,2014,luxury,10.2,260,56,gazole,0,0,2959,2155,automatique
3838,hyundai,2015,luxury,11.2,255,48,gazole,0,0,2959,2035,automatique
4058,hyundai,2015,luxury,10.7,255,48,gazole,0,0,2959,2115,automatique
1365,kia,2014,luxury,9.2,133,26.5,gazole,0,0,2497,1680,automatique
1365,kia,2014,luxury,10,133,26.5,gazole,0,0,2497,1680,manuelle
1375,kia,2014,luxury,9.2,133,26.5,gazole,0,0,2497,1700,automatique
1375,kia,2014,luxury,10,133,26.5,gazole,0,0,2497,1700,manuelle
1500,kia,2014,luxury,8.9,133,26.5,gazole,0,0,2497,1800,automatique
1500,kia,2014,luxury,9.7,133,26.5,gazole,0,0,2497,1800,manuelle
1512,kia,2014,luxury,10,133,26.5,gazole,0,0,2497,1655,manuelle
1522,kia,2014,luxury,10,133,26.5,gazole,0,0,2497,1680,manuelle
1555,kia,2014,luxury,9.1,133,26.5,gazole,0,0,2497,1810,manuelle
1649,kia,2014,luxury,9.7,133,26.5,gazole,0,0,2497,1780,manuelle
1690,kia,2014,luxury,9.1,133,26.5,gazole,0,0,2497,1925,manuelle
1742,kia,2014,luxury,9,133,26.5,gazole,0,0,2497,1940,manuelle
1352,kia,2013,luxury,9.2,133,26.5,gazole,0,0,2497,1680,automatique
1352,kia,2013,luxury,10,133,26.5,gazole,0,0,2497,1680,manuelle
1362,kia,2013,luxury,9.2,133,26.5,gazole,0,0,2497,1700,automatique
1362,kia,2013,luxury,10,133,26.5,gazole,0,0,2497,1700,manuelle
1487,kia,2013,luxury,8.9,133,26.5,gazole,0,0,2497,1800,automatique
1487,kia,2013,luxury,9.7,133,26.5,gazole,0,0,2497,1800,manuelle
1500,kia,2013,luxury,10,133,26.5,gazole,0,0,2497,1655,manuelle
1510,kia,2013,luxury,10,133,26.5,gazole,0,0,2497,1680,manuelle
1608,kia,2013,luxury,9.1,133,26.5,gazole,0,0,2497,1810,manuelle
1618,kia,2013,luxury,9.1,133,26.5,gazole,0,0,2497,1835,manuelle
1637,kia,2013,luxury,9.7,133,26.5,gazole,0,0,2497,1780,manuelle
1714,kia,2013,luxury,9,133,26.5,gazole,0,0,2497,1940,manuelle
1724,kia,2013,luxury,9,133,26.5,gazole,0,0,2497,1960,manuelle
1743,kia,2013,luxury,9.1,133,26.5,gazole,0,0,2497,1925,manuelle
2160,hyundai,2015,luxury,9.5,175,46,gazole,0,0,2497,2210,automatique
2160,hyundai,2015,luxury,10.9,175,46,gazole,0,0,2497,2210,manuelle
2545,hyundai,2015,luxury,8.7,175,46,gazole,0,0,2497,2383,manuelle
